safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:697eacd3c08d4600b9d73fa1f56a2cae,16,15,"[0,1,0,1,0,7,1,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,3,3,3,1,0,0,3,2,2,1,3,5,6,4,1]","{""Monday"":5,""Tuesday"":0,""Wednesday"":1,""Thursday"":0,""Friday"":8,""Saturday"":2,""Sunday"":0}"
sg:b566bbbb2f0c47cda3d95f2260fbe309,102,68,"[0,7,2,18,4,1,1,0,10,12,19,4,2,0,0,2,1,0,4,2,0,1,0,0,0,1,0,0,11,0,0]","[0,0,0,0,1,2,2,8,12,13,13,10,13,17,10,8,7,10,10,9,20,11,1,1]","{""Monday"":19,""Tuesday"":15,""Wednesday"":37,""Thursday"":13,""Friday"":5,""Saturday"":12,""Sunday"":1}"
sg:21a619ab5ac041c0b196d68b6cd3c3a7,78,19,"[5,3,4,6,2,2,2,1,5,3,4,1,2,1,1,3,3,5,2,1,0,1,0,8,6,2,1,1,1,0,2]","[7,7,7,7,8,8,9,8,11,9,10,17,26,25,24,19,14,4,6,5,8,7,7,7]","{""Monday"":11,""Tuesday"":20,""Wednesday"":21,""Thursday"":7,""Friday"":6,""Saturday"":4,""Sunday"":9}"
sg:e9e08d31a22e40a09c81d3e627d02d54,37,23,"[3,0,2,0,3,2,1,0,0,2,0,3,3,4,0,1,2,3,0,0,2,1,0,1,0,0,3,0,0,0,1]","[5,4,4,4,4,4,4,5,11,13,10,9,10,9,10,11,8,8,8,4,4,5,3,5]","{""Monday"":1,""Tuesday"":8,""Wednesday"":3,""Thursday"":6,""Friday"":8,""Saturday"":7,""Sunday"":4}"
sg:fba23ac948aa4ed39d4da6ee634ea88d,119,80,"[8,7,5,4,6,13,6,4,4,4,8,8,4,2,5,3,3,6,0,4,1,2,1,0,1,0,4,1,2,2,1]","[5,0,1,1,1,0,4,21,11,8,10,12,9,9,3,6,5,4,4,7,6,13,18,9]","{""Monday"":17,""Tuesday"":13,""Wednesday"":19,""Thursday"":14,""Friday"":25,""Saturday"":12,""Sunday"":19}"
sg:11debe1d9c364befad070cbcc37996d2,56,54,"[3,5,5,1,3,4,5,2,3,2,2,3,1,0,6,0,0,2,1,0,1,0,0,0,2,0,1,1,2,1,0]","[0,0,0,0,0,0,0,0,0,0,1,3,6,9,9,9,13,15,9,7,7,4,2,0]","{""Monday"":9,""Tuesday"":7,""Wednesday"":7,""Thursday"":7,""Friday"":6,""Saturday"":9,""Sunday"":11}"
sg:12bb6b9a1294475c8434f2554a0e59dc,40,17,"[2,0,1,1,0,2,2,0,1,1,0,0,1,4,1,2,3,2,1,1,2,2,1,1,3,0,2,2,1,1,0]","[16,16,14,14,15,17,15,14,14,15,15,15,13,16,15,15,15,11,9,11,10,17,19,16]","{""Monday"":5,""Tuesday"":6,""Wednesday"":6,""Thursday"":1,""Friday"":6,""Saturday"":10,""Sunday"":6}"
sg:bfd83eb13d49405793b3e63841d67dfc,17,10,"[0,1,0,0,2,2,0,0,2,0,1,1,0,1,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0]","[0,0,0,0,0,0,1,2,0,3,4,2,2,3,2,3,0,1,1,1,0,0,1,0]","{""Monday"":6,""Tuesday"":1,""Wednesday"":1,""Thursday"":3,""Friday"":3,""Saturday"":1,""Sunday"":2}"
sg:36696908e66b4ff8aeadb285dd5733df,9,6,"[2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0]","[1,1,1,1,1,1,1,1,1,2,4,2,3,2,2,1,2,1,0,4,1,1,1,1]","{""Monday"":2,""Tuesday"":3,""Wednesday"":0,""Thursday"":0,""Friday"":0,""Saturday"":2,""Sunday"":2}"
sg:64350312ab4c4573bc1c67fd67434d39,27,20,"[2,1,1,2,0,2,7,2,0,0,1,1,1,1,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,5,7,5,5,6,8,10,10,9,7,6,2,3,1,1,1]","{""Monday"":2,""Tuesday"":1,""Wednesday"":5,""Thursday"":1,""Friday"":3,""Saturday"":8,""Sunday"":7}"
