"safegraph_place_id","parent_safegraph_place_id","location_name","safegraph_brand_ids","brands","top_category","sub_category","category_tags","naics_code","latitude","longitude","street_address","city","region","postal_code","iso_country_code","phone_number","open_hours","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","visitor_home_cbgs","visitor_work_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_month_brand","popularity_by_hour","popularity_by_day","device_type"
sg:8685a8a30aad43aaabf4d71afa91cdf6,,Plymouth Historical Museum,,,"Museums, Historical Sites, and Similar Institutions",Museums,,712110,42.37259,-83.466764,155 S Main St,Plymouth,MI,48170,US,+17344558940,,1583020800,1585699200,170,78,"[4,12,9,9,9,13,7,4,15,9,10,8,7,3,3,6,2,4,6,5,0,5,9,3,1,1,1,0,0,5,0]","{""261635626003"":5}",{},"{""US"":78}",5269,24.0,"{""<5"":7,""5-20"":71,""21-60"":42,""61-240"":39,"">240"":11}","{""Lowe's"":24,""Best Western"":20,""Fit4Mom"":14,""CVS"":9,""BP"":9}","{""Kroger"":40,""Meijer"":36,""Target"":28,""Starbucks"":25,""McDonald's"":24,""Speedway"":24,""CVS"":21,""The Home Depot"":21,""Taco Bell"":19,""Busch's Fresh Food Market"":18,""Wendy's"":18,""BP"":17,""Mobil"":16,""Panera Bread"":14,""Tim Hortons"":14,""Leo's Coney Island"":13,""Sunoco"":12,""Subway"":12,""Costco Wholesale Corp."":12,""Marathon"":11}","[2,2,2,2,2,3,10,18,35,26,24,19,15,29,30,38,40,19,17,16,15,9,3,2]","{""Monday"":47,""Tuesday"":23,""Wednesday"":24,""Thursday"":24,""Friday"":26,""Saturday"":10,""Sunday"":16}","{""android"":34,""ios"":44}"
sg:2012e9833f1d43a4b2f04740f88c8ea5,,Ann Marie's Cake Studio,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,,311811,41.874284,-84.040838,1099 E US Highway 223,Adrian,MI,49221,US,+15172701581,,1583020800,1585699200,9,7,"[0,0,1,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0]",{},{},"{""US"":7}",7800,16.0,"{""<5"":0,""5-20"":5,""21-60"":1,""61-240"":3,"">240"":0}",{},"{""Speedway"":70,""Pet Supplies Plus"":57,""Taco Bell"":53,""Walmart"":52,""McDonald's"":45,""Advance Auto Parts"":42,""Meijer"":42,""O'Reilly Auto Parts"":42,""Wendy's"":39,""Dollar Tree"":38,""Walgreens"":37,""Dollar General"":37,""Busch's Fresh Food Market"":29,""True Value Hardware"":28,""Jeep"":28,""Ram"":28,""Chrysler"":28,""Dodge"":28,""Big Lots Stores"":27,""Chipotle Mexican Grill"":27}","[0,0,0,0,0,0,0,0,1,1,1,5,2,3,2,0,0,0,1,0,0,0,0,0]","{""Monday"":1,""Tuesday"":2,""Wednesday"":2,""Thursday"":0,""Friday"":4,""Saturday"":0,""Sunday"":0}","{""android"":5,""ios"":0}"
sg:461c51fd227d41a492bd1b771ee30275,,Upper Peninsula Firefighters Memorial Museum,,,"Museums, Historical Sites, and Similar Institutions",Museums,,712110,47.247418,-88.454033,327 6th St,Calumet,MI,49913,US,+19063374579,,1583020800,1585699200,17,17,"[3,1,0,2,2,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0]","{""260610003002"":5}",{},"{""US"":15}",1370,49.0,"{""<5"":2,""5-20"":4,""21-60"":5,""61-240"":4,"">240"":2}",{},"{""BP"":21,""Krist Oil"":12,""Auto Value"":12,""AmericInn"":12,""Holiday Station"":12,""IGA"":11,""Culver's"":11,""Ace Hardware"":11,""Wendy's"":8,""North Coast Roofing Systems"":6,""Flagstar Bank"":6,""Suburban Propane"":6,""HopCat"":6,""Shopko"":6,""Butera Market"":6,""Busch's Fresh Food Market"":6,""Bob's Big Boy"":6,""Pancheros"":6,""Rosati's Chicago Pizza"":6,""Westin Hotels & Resorts"":6}","[3,2,2,2,2,2,2,2,2,2,3,2,1,0,0,4,4,4,3,2,1,2,3,2]","{""Monday"":2,""Tuesday"":1,""Wednesday"":3,""Thursday"":2,""Friday"":2,""Saturday"":3,""Sunday"":4}","{""android"":12,""ios"":5}"
sg:2f7c90c2bb8c4af097d2179a10531ee4,,Rock City Eats & Sweets,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,,311811,42.39338,-83.006795,9701 Harper Ave,Detroit,MI,48213,US,+13135438888,"{ ""Mon"": [[""9:00"", ""20:00""]], ""Tue"": [[""9:00"", ""20:00""]], ""Wed"": [[""9:00"", ""20:00""]], ""Thu"": [[""9:00"", ""20:00""]], ""Fri"": [[""9:00"", ""20:00""]], ""Sat"": [[""9:00"", ""20:00""]], ""Sun"": [[""9:00"", ""17:00""]] }",,,,,,,,,,,,,,,,
sg:09ca05aacbce437ba1fa4e3b60a60bd8,,Suzy's Pasties,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,,311811,45.855212,-84.752291,W720 US Highway 2 W,Saint Ignace,MI,49781,US,+19069842345,,1583020800,1585699200,22,16,"[0,3,0,0,0,3,0,0,1,1,1,1,3,1,0,1,0,1,0,0,0,1,2,0,0,0,2,0,0,0,1]",{},{},"{""US"":11}",26952,11.5,"{""<5"":2,""5-20"":11,""21-60"":3,""61-240"":2,"">240"":4}",{},"{""Ace Hardware"":24,""McDonald's"":19,""Shell Oil"":19,""Holiday Station"":19,""Quality Inn"":18,""Walmart"":18,""Meijer"":18,""Marathon"":17,""Wendy's"":15,""Walgreens"":13,""Dollar General"":13,""Wesco Convenience Store"":12,""Holiday Inn"":12,""Pizza Hut"":11,""Burger King"":9,""Taco Bell"":8,""Subway"":7,""Krist Oil"":6,""J&H"":6,""Forward"":6}","[2,2,1,1,3,2,1,2,2,5,4,4,3,8,5,3,4,2,1,1,2,2,2,2]","{""Monday"":7,""Tuesday"":2,""Wednesday"":2,""Thursday"":1,""Friday"":8,""Saturday"":1,""Sunday"":1}","{""android"":13,""ios"":0}"
sg:0b2277c7549c4122a61e4b940a1f040c,,Lowry's Books,,,Book Stores and News Dealers,Book Stores,,451211,41.944434,-85.633611,22 N Main St,Three Rivers,MI,49093,US,+12692737323,,1583020800,1585699200,262,198,"[17,6,10,16,16,45,18,13,4,10,5,9,10,18,12,2,6,4,4,1,1,4,1,5,4,3,1,2,10,4,1]","{""261490401003"":11,""261490404002"":8,""261490409004"":7,""261490401001"":7,""261490415002"":7,""261490401002"":7,""261490402002"":6,""261490411021"":6,""261490402001"":5,""261490411024"":5,""261490409001"":5,""261490409002"":5,""261490403002"":5,""261490403001"":5,""261490413003"":5}","{""261490403001"":5}","{""US"":195}",11722,41.0,"{""<5"":6,""5-20"":63,""21-60"":120,""61-240"":60,"">240"":13}","{""Meijer"":66,""Taco Bell"":24,""Johnny's Markets"":11,""KFC"":7,""Goodwill Industries"":6}","{""Meijer"":62,""McDonald's"":32,""Shell Oil"":31,""Dollar General"":28,""Walmart"":27,""Menard's"":23,""Speedway"":22,""Wendy's"":22,""Goodwill Industries"":20,""Applebee's"":19,""Johnny's Markets"":19,""Dairy Queen"":16,""Harding's Friendly Market"":15,""Subway"":15,""Marathon"":13,""The Home Depot"":13,""Taco Bell"":13,""Biggby Coffee"":13,""ALDI"":13,""Arby's"":11}","[9,9,10,11,11,9,9,9,15,17,19,23,28,26,25,38,56,66,61,43,42,40,23,19]","{""Monday"":17,""Tuesday"":32,""Wednesday"":29,""Thursday"":32,""Friday"":57,""Saturday"":45,""Sunday"":50}","{""android"":101,""ios"":97}"
sg:412abff305b2403a9669a4212dbaf901,,Tradewinds Bakery,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,,311811,45.418427,-83.816752,213 W Erie St,Rogers City,MI,49779,US,+19897344774,,,,,,,,,,,,,,,,,
sg:75dbd3f1f71a41719befa590689dfdeb,,Gude Goodies,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,,311811,42.79076,-86.082011,587 E 8th St,Holland,MI,49423,US,+12693089823,"{ ""Mon"": [[""9:00"", ""19:00""]], ""Tue"": [[""9:00"", ""19:00""]], ""Wed"": [[""9:00"", ""19:00""]], ""Thu"": [[""9:00"", ""19:00""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [], ""Sun"": [] }",1583020800,1585699200,55,41,"[0,7,1,1,1,3,6,0,6,2,0,1,2,1,0,3,3,0,1,2,0,0,2,1,4,6,1,0,0,0,1]",{},{},"{""US"":41}",6753,19.0,"{""<5"":1,""5-20"":27,""21-60"":15,""61-240"":8,"">240"":4}","{""Taco Bell"":16,""MVP Athletic Clubs"":14}","{""Meijer"":55,""McDonald's"":49,""J&H"":34,""Menard's"":33,""Speedway"":30,""Family Fare"":29,""Walgreens"":26,""Sam's Club"":23,""Taco Bell"":22,""Biggby Coffee"":22,""Mobil"":20,""Target"":20,""Wendy's"":20,""Subway"":19,""Marathon"":18,""Tim Hortons"":17,""Shell Oil"":16,""Dollar General"":16,""Goodwill Industries"":15,""Starbucks"":15}","[0,0,0,0,0,0,0,0,2,9,8,14,15,12,11,12,9,5,5,0,1,0,0,0]","{""Monday"":18,""Tuesday"":8,""Wednesday"":5,""Thursday"":9,""Friday"":8,""Saturday"":7,""Sunday"":0}","{""android"":24,""ios"":17}"
sg:cb6ac4b9ab1041079b96c8bb33f59df4,,Connie's Kitchen,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,,311811,47.241046,-88.454407,56901 S 6th St,Calumet,MI,49913,US,+19063370113,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",1583020800,1585699200,52,33,"[2,3,1,2,1,3,5,2,1,0,2,1,5,3,2,3,3,2,0,2,2,1,2,0,0,1,1,0,2,0,0]",{},{},"{""US"":31}",8974,27.5,"{""<5"":3,""5-20"":17,""21-60"":17,""61-240"":13,"">240"":2}",{},"{""IGA"":48,""Walmart"":32,""AmericInn"":24,""BP"":22,""Culver's"":17,""Menard's"":14,""Subway"":13,""Dunham's Sports"":12,""Miracle-Ear"":12,""Holiday Station"":12,""Ace Hardware"":11,""CrossFit"":11,""Applebee's"":11,""Taco Bell"":11,""Freedom Valu Center"":9,""LifePoint Hospitals"":9,""Kwik Trip"":9,""Lowe's"":8,""Marathon"":8,""McDonald's"":6}","[1,1,1,1,1,2,2,5,10,10,9,13,4,8,4,3,4,6,5,2,4,7,4,3]","{""Monday"":9,""Tuesday"":4,""Wednesday"":6,""Thursday"":3,""Friday"":11,""Saturday"":12,""Sunday"":7}","{""android"":18,""ios"":15}"
sg:3326199f1541461d9042efac82bbbf85,,Mo Marketing Pr,,,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),,512131,42.466129,-83.123525,2393 Hilton Rd,Ferndale,MI,48220,US,+12485565799,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,,,,,,,,,,,,,
sg:3e6690b4eb8445acb6e1c49f82b3cc89,,US 23 Drive in Theater,,,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),,512131,42.953709,-83.695042,5200 Fenton Rd,Flint,MI,48507,US,+18102380751,,,,,,,,,,,,,,,,,
sg:2cb70172086449a1bdcfa20c5478155a,,Vito's Bakery,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,,311811,42.564927,-82.94891,36578 Moravian Dr,Clinton Township,MI,48035,US,+15867910360,"{ ""Mon"": [], ""Tue"": [[""8:00"", ""19:00""]], ""Wed"": [[""8:00"", ""19:00""]], ""Thu"": [[""8:00"", ""19:00""]], ""Fri"": [[""8:00"", ""19:00""]], ""Sat"": [[""8:00"", ""17:00""]], ""Sun"": [[""8:00"", ""15:00""]] }",1583020800,1585699200,198,168,"[6,3,13,8,12,13,13,10,4,6,14,11,9,8,7,3,7,5,10,4,5,2,3,2,3,1,6,4,2,2,2]","{""260992415001"":5,""260992200013"":5}",{},"{""US"":168}",7817,9.0,"{""<5"":11,""5-20"":138,""21-60"":27,""61-240"":19,"">240"":3}","{""CVS"":30,""Shell Oil"":15,""Costco Wholesale Corp."":9}","{""Meijer"":51,""Kroger"":37,""CVS"":31,""McDonald's"":30,""Marathon"":28,""Speedway"":28,""Starbucks"":24,""Taco Bell"":22,""Tim Hortons"":21,""7-Eleven"":19,""BP"":18,""Dollar Tree"":18,""Sam's Club"":18,""Mobil"":17,""The Home Depot"":17,""Walgreens"":17,""Lowe's"":16,""Burger King"":16,""Sunoco"":15,""Costco Wholesale Corp."":14}","[0,1,0,0,0,1,4,5,6,11,29,36,34,31,33,41,30,14,6,0,5,3,2,2]","{""Monday"":15,""Tuesday"":30,""Wednesday"":30,""Thursday"":34,""Friday"":32,""Saturday"":30,""Sunday"":27}","{""android"":98,""ios"":70}"
sg:fa0c2aaca987490fb5f7d151e0156e9c,,Wolverine Fire Company Museum,,,"Museums, Historical Sites, and Similar Institutions",Museums,,712110,42.298501,-85.034954,13280 Verona Rd,Battle Creek,MI,49014,US,,,,,,,,,,,,,,,,,,
sg:9847b737526d40faac4fc29a4a0e77f9,,Lizz's Books,,,Book Stores and News Dealers,Book Stores,,451211,42.820725,-83.708448,14296 N Fenton Rd,Fenton,MI,48430,US,+18106290050,"{ ""Mon"": [[""10:00"", ""18:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [] }",1583020800,1585699200,108,48,"[5,4,3,4,6,8,5,1,2,6,2,7,3,7,3,4,4,6,5,1,3,5,2,1,6,1,1,0,2,1,0]",{},{},"{""US"":48}",11835,48.0,"{""<5"":3,""5-20"":30,""21-60"":25,""61-240"":34,"">240"":16}","{""Sunoco"":33}","{""VG's Grocery"":37,""Speedway"":34,""Meijer"":32,""The Home Depot"":29,""Walmart"":29,""Starbucks"":28,""McDonald's"":28,""Kroger"":26,""Taco Bell"":25,""Target"":25,""Rite Aid"":24,""Marathon"":21,""Hallmark Cards"":18,""Mobil"":17,""Planet Fitness"":17,""Sam's Club"":17,""Dollar General"":17,""Dunham's Sports"":17,""BP"":16,""Culver's"":16}","[6,6,6,6,5,6,6,6,7,9,11,23,22,25,24,29,26,27,22,18,6,6,6,6]","{""Monday"":13,""Tuesday"":14,""Wednesday"":18,""Thursday"":19,""Friday"":13,""Saturday"":15,""Sunday"":16}","{""android"":30,""ios"":18}"
