safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:b6931abee4974ca286fea2a87b15dfec,27,17,"[0,0,1,0,1,0,0,2,1,0,1,0,1,1,0,0,0,1,2,4,0,2,1,0,0,0,4,4,1]","[4,4,4,4,4,4,4,4,5,5,5,4,7,5,3,3,7,4,3,3,4,5,5,4]","{""Monday"":1,""Tuesday"":2,""Wednesday"":3,""Thursday"":9,""Friday"":5,""Saturday"":5,""Sunday"":2}"
sg:cc807a91eceb4b1b9e6b879b54dcfbd5,74,49,"[3,0,4,0,1,2,4,5,0,2,2,0,1,2,2,0,3,0,1,6,3,0,3,5,6,4,10,5,0]","[5,5,4,6,7,8,6,17,10,17,20,5,4,7,12,15,14,2,0,3,5,5,7,4]","{""Monday"":14,""Tuesday"":8,""Wednesday"":6,""Thursday"":19,""Friday"":14,""Saturday"":10,""Sunday"":3}"
sg:1e83d89189e24ddd91e01b8e2513cd70,224,77,"[2,4,15,15,8,9,10,1,1,11,9,6,10,8,0,3,2,9,14,17,9,1,3,20,8,12,6,10,1]","[0,0,0,0,0,0,0,15,41,64,49,55,55,65,58,46,34,25,20,7,8,4,1,0]","{""Monday"":48,""Tuesday"":41,""Wednesday"":40,""Thursday"":42,""Friday"":37,""Saturday"":5,""Sunday"":11}"
sg:a7b3ca071c7e43c1aecd39da086a444d,574,399,"[33,27,34,18,18,45,26,20,23,35,21,27,13,37,13,57,17,23,12,0,2,6,0,18,13,2,5,13,6]","[32,20,32,55,56,47,45,107,92,73,65,55,50,58,48,80,13,23,31,29,39,41,45,54]","{""Monday"":104,""Tuesday"":75,""Wednesday"":59,""Thursday"":63,""Friday"":88,""Saturday"":78,""Sunday"":107}"
sg:3153c80ddd854babb02227e33332c04d,45,24,"[0,1,1,1,0,3,3,3,4,1,0,3,2,3,0,1,2,2,2,1,0,1,3,0,1,3,3,1,0]","[2,2,2,2,3,2,3,3,4,4,8,6,4,7,8,10,13,7,3,4,6,9,5,4]","{""Monday"":4,""Tuesday"":4,""Wednesday"":8,""Thursday"":9,""Friday"":7,""Saturday"":4,""Sunday"":9}"
sg:0e409f875f6e4a39bec27f601417ec79,83,42,"[2,4,4,1,3,3,5,3,2,3,5,3,3,6,2,0,4,2,0,3,4,4,1,5,1,2,4,0,3]","[7,6,5,5,5,5,5,5,21,25,25,19,22,27,23,22,21,13,14,7,8,6,4,5]","{""Monday"":16,""Tuesday"":9,""Wednesday"":8,""Thursday"":13,""Friday"":16,""Saturday"":14,""Sunday"":7}"
sg:4d37fefe3b034b80aa997ce220c4a9f2,21,14,"[0,0,0,1,3,1,1,1,1,1,1,0,0,0,1,0,0,1,1,2,2,0,0,0,1,1,1,1,0]","[0,0,0,0,0,0,0,0,6,10,8,10,10,12,10,11,10,8,5,0,0,0,0,0]","{""Monday"":1,""Tuesday"":4,""Wednesday"":5,""Thursday"":4,""Friday"":4,""Saturday"":2,""Sunday"":1}"
sg:156a7c0b6c50468e9f994fd9ca77552f,367,89,"[6,6,20,32,17,12,14,6,7,20,12,14,15,9,3,7,17,15,17,14,11,8,5,17,14,15,16,10,2]","[89,81,79,84,82,121,132,108,112,121,124,128,123,107,91,53,38,26,15,29,39,88,88,80]","{""Monday"":74,""Tuesday"":73,""Wednesday"":63,""Thursday"":57,""Friday"":50,""Saturday"":25,""Sunday"":25}"
sg:862dcff8820043dd8190baf3184f9e05,24,16,"[2,3,1,1,1,0,3,2,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,3,1,0]","[0,0,0,0,1,1,1,1,5,2,3,3,2,1,1,0,0,0,0,12,16,12,2,1]","{""Monday"":3,""Tuesday"":2,""Wednesday"":1,""Thursday"":3,""Friday"":6,""Saturday"":5,""Sunday"":4}"
sg:2e41aca3b15041e89601769ab3fe489f,44,38,"[4,0,0,2,4,2,2,3,0,0,1,1,2,2,2,0,1,3,1,0,1,1,0,0,2,2,0,3,5]","[0,0,0,0,0,0,0,1,3,3,4,15,6,5,5,4,3,1,1,1,1,0,0,0]","{""Monday"":1,""Tuesday"":8,""Wednesday"":8,""Thursday"":4,""Friday"":8,""Saturday"":15,""Sunday"":0}"
