safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:861c8caee71b46db81bed619682b9622,1109,949,"[24,19,11,16,21,27,38,27,18,21,14,40,32,66,55,25,36,26,47,55,78,72,72,40,0,47,46,36,33,33,34]","[2,1,0,0,0,0,0,1,5,15,67,98,142,182,211,207,222,180,128,108,122,54,19,6]","{""Monday"":164,""Tuesday"":142,""Wednesday"":56,""Thursday"":155,""Friday"":160,""Saturday"":221,""Sunday"":211}"
sg:faf18d5751524dd984a52dd07eb21653,214,184,"[2,2,6,4,11,17,9,5,8,9,4,3,10,9,3,7,8,8,8,7,7,6,9,6,0,6,5,8,4,13,10]","[0,0,0,1,0,0,2,3,9,13,24,29,35,42,38,35,34,25,22,35,28,21,14,3]","{""Monday"":35,""Tuesday"":39,""Wednesday"":16,""Thursday"":28,""Friday"":39,""Saturday"":37,""Sunday"":20}"
sg:fea4a1444df74da38d34761acaf208bf,145,120,"[0,10,4,4,1,15,4,2,2,7,4,13,8,5,2,4,4,6,4,13,3,2,4,3,0,3,1,1,5,9,2]","[14,14,8,1,0,0,0,0,3,6,8,14,14,14,17,19,20,17,13,27,18,11,12,9]","{""Monday"":29,""Tuesday"":20,""Wednesday"":14,""Thursday"":21,""Friday"":37,""Saturday"":13,""Sunday"":11}"
sg:9c2e455d62d64937b4525886ba06e732,195,71,"[5,7,7,5,5,7,7,12,6,6,9,5,6,5,6,12,4,4,10,6,2,12,7,13,1,2,2,3,3,6,10]","[4,1,1,1,2,2,2,9,33,66,88,81,59,43,43,38,31,22,14,9,8,5,8,7]","{""Monday"":38,""Tuesday"":40,""Wednesday"":19,""Thursday"":22,""Friday"":21,""Saturday"":17,""Sunday"":38}"
sg:5161060dec0c4e9283f301161925eee5,50,34,"[1,2,0,2,3,2,2,0,2,2,3,3,0,0,0,1,2,1,3,2,1,0,1,0,2,7,0,1,1,6,0]","[3,3,3,3,3,3,5,7,12,15,15,13,9,12,9,12,13,7,3,3,1,0,1,4]","{""Monday"":10,""Tuesday"":4,""Wednesday"":8,""Thursday"":16,""Friday"":4,""Saturday"":6,""Sunday"":2}"
sg:2f3ad95ce9a84d5ca51559c065f804c0,42,22,"[0,1,3,2,3,3,1,0,3,2,0,3,4,1,2,1,3,0,2,2,1,1,0,1,0,2,0,0,0,0,1]","[0,0,0,0,0,0,0,4,6,9,12,11,8,12,7,6,8,7,4,5,2,2,2,0]","{""Monday"":5,""Tuesday"":10,""Wednesday"":2,""Thursday"":10,""Friday"":9,""Saturday"":3,""Sunday"":3}"
sg:90ab3323551f4470bcb60c438ce22552,75,47,"[0,1,2,2,2,1,1,0,5,4,2,1,2,5,0,3,7,6,2,1,1,2,0,1,0,3,7,8,0,3,3]","[0,0,0,0,0,0,0,0,4,10,17,26,19,16,14,16,5,8,6,10,6,0,0,0]","{""Monday"":12,""Tuesday"":17,""Wednesday"":10,""Thursday"":8,""Friday"":11,""Saturday"":15,""Sunday"":2}"
sg:ad2d07f8a55248f88128e7860efcef2a,23,6,"[0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0,0,0,3,2,1,1,0,2,1,0,0,1,5,0]","[10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,9,11,10,10,8,8,8,8,10]","{""Monday"":5,""Tuesday"":1,""Wednesday"":2,""Thursday"":1,""Friday"":5,""Saturday"":6,""Sunday"":3}"
sg:bb07f40959624d0e9bbd46683f3bd06e,63,26,"[1,2,2,3,2,3,2,1,2,1,1,1,2,3,0,2,2,1,1,1,2,4,5,3,3,2,2,1,1,4,3]","[1,2,1,1,1,24,25,24,27,24,29,31,22,22,10,5,5,1,3,3,2,4,4,2]","{""Monday"":15,""Tuesday"":11,""Wednesday"":8,""Thursday"":6,""Friday"":8,""Saturday"":8,""Sunday"":7}"
sg:27533752f0c74303a2518fca1f716f74,131,127,"[4,2,0,1,2,4,6,5,0,5,0,4,6,6,1,5,5,3,5,8,7,7,7,4,0,3,8,3,6,8,6]","[0,0,0,0,0,0,0,0,0,3,12,22,28,26,24,21,18,18,15,15,10,5,1,0]","{""Monday"":22,""Tuesday"":20,""Wednesday"":4,""Thursday"":14,""Friday"":26,""Saturday"":22,""Sunday"":23}"
