safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:fea1a466388a4ba0a29cf6fcece8b074,59,23,"[0,1,6,2,0,2,2,2,4,3,2,0,1,1,3,2,0,2,0,4,1,2,2,3,1,0,3,1,3,3,3]","[0,0,0,0,0,0,9,13,20,22,24,22,25,25,29,29,17,4,1,1,1,0,0,0]","{""Monday"":10,""Tuesday"":5,""Wednesday"":10,""Thursday"":12,""Friday"":15,""Saturday"":7,""Sunday"":0}"
sg:156a7c0b6c50468e9f994fd9ca77552f,456,94,"[1,10,14,7,2,15,20,22,22,16,5,8,17,23,21,23,15,7,6,17,20,17,23,18,5,6,20,11,21,23,21]","[83,85,85,92,89,132,128,114,129,138,143,145,142,157,128,104,99,49,32,48,50,98,101,83]","{""Monday"":69,""Tuesday"":74,""Wednesday"":82,""Thursday"":101,""Friday"":84,""Saturday"":24,""Sunday"":22}"
sg:862dcff8820043dd8190baf3184f9e05,20,13,"[0,0,1,0,1,0,2,1,0,0,0,1,0,0,1,2,1,0,0,1,3,1,1,1,0,0,1,1,1,0,0]","[0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,2,5,2,9,10,9,0,0]","{""Monday"":2,""Tuesday"":6,""Wednesday"":4,""Thursday"":3,""Friday"":3,""Saturday"":0,""Sunday"":2}"
sg:056e92e6edbc4b6bb14df41e9991352f,103,40,"[0,5,5,2,0,1,2,6,3,5,2,1,4,6,4,5,2,4,0,7,3,6,2,4,5,2,5,3,3,5,1]","[3,5,5,5,4,5,5,26,24,26,35,38,35,33,32,38,31,25,7,5,6,9,5,5]","{""Monday"":17,""Tuesday"":14,""Wednesday"":19,""Thursday"":20,""Friday"":17,""Saturday"":13,""Sunday"":3}"
sg:f08aa960f19c40c197f406de4bdc65be,39,24,"[4,4,1,1,1,2,0,1,2,3,0,1,3,0,0,2,1,0,1,1,1,2,1,0,0,1,1,0,2,2,1]","[6,8,7,7,7,7,10,6,5,5,6,6,4,6,4,2,4,4,4,6,6,5,5,5]","{""Monday"":7,""Tuesday"":1,""Wednesday"":9,""Thursday"":11,""Friday"":6,""Saturday"":1,""Sunday"":4}"
sg:754bdf265d144d33a0273ae0ab3b674e,136,68,"[5,6,7,2,1,5,7,5,6,7,1,1,3,3,6,8,8,0,0,5,5,5,6,5,1,2,6,2,5,7,6]","[6,6,7,8,7,7,7,5,31,27,32,32,32,34,35,31,31,21,8,1,4,6,7,7]","{""Monday"":19,""Tuesday"":17,""Wednesday"":26,""Thursday"":33,""Friday"":33,""Saturday"":4,""Sunday"":4}"
sg:1e83d89189e24ddd91e01b8e2513cd70,458,133,"[0,13,3,1,6,31,30,29,22,21,3,2,28,18,17,18,13,1,5,1,24,30,25,21,0,2,24,16,23,21,10]","[0,0,0,0,0,0,10,34,108,126,118,118,102,112,114,105,84,63,46,24,19,17,6,0]","{""Monday"":84,""Tuesday"":88,""Wednesday"":99,""Thursday"":99,""Friday"":68,""Saturday"":5,""Sunday"":15}"
sg:41eac9527a5e4be49d5d5f20d8f7c1ac,475,397,"[38,32,37,38,28,8,9,8,4,17,23,14,7,3,9,9,17,20,31,26,5,7,8,8,24,16,2,2,7,5,13]","[4,0,0,0,0,0,2,10,24,44,54,93,101,118,118,142,154,127,126,58,59,58,11,7]","{""Monday"":43,""Tuesday"":22,""Wednesday"":69,""Thursday"":58,""Friday"":89,""Saturday"":105,""Sunday"":89}"
sg:c2319681ecc045f6ac39510cca6185f4,95,86,"[13,5,8,10,2,2,2,0,1,5,1,0,2,0,1,0,5,10,6,0,1,0,1,4,1,2,0,1,2,1,9]","[1,0,0,0,0,0,0,0,0,3,5,7,9,9,17,19,12,15,15,19,22,17,5,6]","{""Monday"":4,""Tuesday"":11,""Wednesday"":16,""Thursday"":8,""Friday"":24,""Saturday"":22,""Sunday"":10}"
sg:0b470f68817f4035963a4584c386b826,70,62,"[2,6,3,5,4,1,3,0,2,3,7,1,2,3,0,3,0,2,2,1,2,1,0,5,1,3,2,3,3,0,0]","[4,2,1,0,0,0,1,7,5,6,6,5,3,6,7,3,9,10,4,3,1,0,1,2]","{""Monday"":6,""Tuesday"":11,""Wednesday"":6,""Thursday"":11,""Friday"":11,""Saturday"":15,""Sunday"":10}"
